trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
10/12/2019 2:10,213200000000000.0,fraud_Cartwright-Harris,grocery_pos,152.12,Christopher,Miller,M,493 Fitzgerald Fields Suite 454,Varnell,GA,30756,34.9298,-84.9885,74,Pensions consultant,5/14/1944,78662b5c99799b276af5b930f71d6765,1350007837,34.141395,-85.578901,0
4/5/2019 21:12,213107000000000.0,"fraud_Mueller, Gerhold and Mueller",health_fitness,18.93,Megan,Fernandez,F,77127 Paul Station Apt. 495,Woods Cross,UT,84087,40.8874,-111.9027,13983,Insurance broker,8/14/1979,774887e47f2f303a8bf30732ff4cf056,1333660356,40.289384,-111.534543,0
6/6/2020 12:18,3502090000000000.0,"fraud_Heathcote, Yost and Kertzmann",shopping_net,11.24,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,9/8/1976,9bf9d3f0abe0cf31bb604411a30e759a,1370521080,39.852016,-76.506192,0
12/14/2019 0:26,3502380000000000.0,fraud_Huels-Hahn,gas_transport,62.05,Kathleen,Martin,F,659 Nicole Cove Suite 560,New Waverly,TX,77358,30.5354,-95.4532,4993,"Scientist, biomedical",11/30/1948,24268607f7d3eb3290b8e3f784b9b9eb,1355444777,30.452492,-94.897319,0
6/15/2020 6:46,3518760000000000.0,fraud_Ortiz Group,grocery_net,72.22,Antonio,Koch,M,8738 Richard Brooks,Moab,UT,84532,38.5677,-109.5271,9772,Location manager,11/24/1989,37c83e71b3ace9d33e43dac95509cf41,1371278776,39.56582,-108.713486,0
5/27/2019 14:00,30131800000000.0,fraud_Lind-Buckridge,entertainment,108.89,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,37932,35.9335,-84.1481,391389,"Designer, industrial/product",4/22/1994,7c6cce3c042545d5393a261f76194801,1338127232,34.968994,-84.137538,0
4/7/2020 16:52,213113000000000.0,"fraud_Dare, Fritsch and Zboncak",health_fitness,169.7,Larry,Vaughan,M,83555 Melinda Spurs,Kingsville,MD,21087,39.4558,-76.4147,5451,Science writer,12/5/1961,b19d74948fe545eed79ecd317a606b98,1365353549,39.081025,-75.965585,0
10/19/2019 19:14,3550550000000000.0,fraud_Kutch-Ferry,home,104.41,Ryan,Foster,M,03921 Cole Mission Suite 882,Hampton,FL,32044,29.8575,-82.1483,2060,Oncologist,11/10/1983,ad2a5de33312c55ddbeeee2110c4cfa3,1350674068,30.107461,-82.883817,0
12/19/2019 12:50,213148000000000.0,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,1060.12,Jill,Jacobs,F,034 Kimberly Mountains,Brandon,FL,33510,27.9551,-82.2966,79613,Environmental consultant,11/30/1978,ea858cfee8fcd1352160f2b50ebc5460,1355921415,28.768971,-83.270582,0
2/19/2019 12:21,36913600000000.0,fraud_Little Ltd,kids_pets,38.88,Ana,Mccormick,F,4503 Patricia Route,Meridian,ID,83646,43.6498,-116.4306,84106,Intelligence analyst,2/11/1971,a5d327780ce75e083258a7d88dd93655,1329654116,43.525976,-115.499598,0
11/26/2019 22:33,4010000000000000.0,fraud_Pouros-Conroy,shopping_pos,37.29,Jennifer,Bishop,F,589 Matthew Brooks,Houston,TX,77026,29.7972,-95.3288,2906700,Animator,8/24/1983,4700f81a94c14646564ab67b41af1cc4,1353969230,30.218945,-95.281415,0
12/29/2019 3:34,3504180000000000.0,fraud_Berge LLC,gas_transport,59.41,Drew,Garcia,M,70858 Jasmine Meadows Apt. 135,Lima,OH,45801,40.7641,-84.0973,86954,"Copywriter, advertising",7/23/1992,dcca5107a67d8126ccffa0fa34a0d553,1356752091,41.622547,-84.444958,0
2/12/2019 21:53,4570640000000000.0,fraud_Hills-Boyer,personal_care,83.86,Christine,Leblanc,F,5097 Jodi Vista Suite 811,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,4/9/1988,61cdebe6e0671fac690def4a681e085e,1329083630,28.735113,-81.34355,0
2/5/2020 16:57,213200000000000.0,fraud_Gleason and Sons,kids_pets,66.22,Christopher,Miller,M,493 Fitzgerald Fields Suite 454,Varnell,GA,30756,34.9298,-84.9885,74,Pensions consultant,5/14/1944,1121174cd75941741ac4a379c6948327,1360083420,34.132815,-85.134903,0
8/22/2019 20:54,5456780000000000.0,fraud_Hoppe-Parisian,kids_pets,10.66,Taylor,Khan,F,658 Diane Glen Apt. 677,North Washington,PA,16048,41.0472,-79.8089,139,Patent attorney,5/25/1954,df697eaa9ed7c02efbc52d8c0a6f2894,1345668889,40.315521,-80.178973,0
5/23/2020 0:00,6011350000000000.0,fraud_Rempel PLC,grocery_net,52.95,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,7/12/1980,9db94ee08d9686a39405e918daab7dc5,1369267217,33.341281,-87.105219,0
10/27/2019 15:48,371009000000000.0,fraud_Pacocha-Bauch,shopping_pos,6.05,Randall,Burgess,M,393 Carroll Route Suite 197,Norman Park,GA,31771,31.2462,-83.6549,5666,Rural practice surveyor,9/14/2003,7cb75a0f47c3117dbd872d55cc544e2e,1351352881,30.396966,-83.462393,0
